ItemID	Seq	PageID	Name	Type	SubType	WikipediaID	WikipediaLanguage	WikipediaUrl	Offset	Length	Score	WikipediaScore	IsScientificName
20995	1	2774073	University of Illinois at Urbana–Champaign	Organization	N/A	University of Illinois at Urbana–Champaign	en	https://en.wikipedia.org/wiki/University_of_Illinois_at_Urbana–Champaign	116	22	0.800	0.006	False
20995	2	2774073	University of Illinois Library	Organization	N/A	N/A	N/A	N/A	116	30	0.974		False
20995	3	2774073	Library	Location	N/A	Library	en	https://en.wikipedia.org/wiki/Library	139	7	0.800	0.143	False
20995	4	2774077	Outfielder	Other	N/A	Outfielder	en	https://en.wikipedia.org/wiki/Outfielder	181	2	0.800	0.063	False
20995	5	2774077	Zoology	Organization	N/A	Zoology	en	https://en.wikipedia.org/wiki/Zoology	60	10	0.800	0.297	False
20995	6	2774077	Zoology	Organization	N/A	Zoology	en	https://en.wikipedia.org/wiki/Zoology	384	10	0.800	0.297	False
20995	7	2774077	Field Museum of Natural History	Location	N/A	Field Museum of Natural History	en	https://en.wikipedia.org/wiki/Field_Museum_of_Natural_History	89	31	0.837	0.813	False
20995	8	2774077	Field Museum of Natural History	Location	N/A	Field Museum of Natural History	en	https://en.wikipedia.org/wiki/Field_Museum_of_Natural_History	2208	31	0.800	0.813	False
20995	9	2774077	Trade paperback (comics)	Other	N/A	Trade paperback (comics)	en	https://en.wikipedia.org/wiki/Trade_paperback_(comics)	125	6	0.800	0.052	False
20995	10	2774077	Super Bowl XX	Other	N/A	Super Bowl XX	en	https://en.wikipedia.org/wiki/Super_Bowl_XX	132	2	0.800	0.107	False
20995	11	2774077	CHICAGO	Location	N/A	N/A	N/A	N/A	135	7	0.715		False
20995	12	2774077	JUNE 14, 1938	DateTime	Date	N/A	N/A	N/A	144	13	0.800		False
20995	13	2774077	June 14	Other	N/A	June 14	en	https://en.wikipedia.org/wiki/June_14	144	7	0.800	0.297	False
20995	14	2774077	31	Quantity	Number	N/A	N/A	N/A	162	2	0.800		False
20995	15	2774077	Food choice	Other	N/A	Food choice	en	https://en.wikipedia.org/wiki/Food_choice	169	11	0.800	0.725	False
20995	16	2774077	Food choice	Other	N/A	Food choice	en	https://en.wikipedia.org/wiki/Food_choice	750	11	0.800	0.725	False
20995	17	2774077	Food choice	Other	N/A	Food choice	en	https://en.wikipedia.org/wiki/Food_choice	1736	11	0.800	0.725	False
20995	18	2774077	ARCTIC BIRDS	Organization	N/A	N/A	N/A	N/A	189	12	0.544		False
20995	19	2774077	CLARENCE COTTAM	Person	N/A	N/A	N/A	N/A	224	15	0.703		False
20995	20	2774077	Logical conjunction	Other	N/A	Logical conjunction	en	https://en.wikipedia.org/wiki/Logical_conjunction	241	3	0.800	0.029	False
20995	21	2774077	HAROLD C. HANSON	Person	N/A	N/A	N/A	N/A	245	16	0.999		False
20995	22	2774077	the summer of 1936	DateTime	DateRange	N/A	N/A	N/A	274	18	0.800		False
